prompt,completion
巧克力,朱古力
打蟲子,杜蟲
枸杞子,杞子
杯子,杯
杯柄,杯耳
方便麵,杯麵
稠粥,杰粥
辦法,板斧
果醬,果占
水果行,果欄
的,架
訂單,柯打
柱石,柱躉
木柴,柴
喊倒好兒,柴台
柿子,柿
校服外衣,校褸
審計師,核數師
噁心,核突
底子,根底
桃子,桃
梯子,梯
梳子,梳
沙發,梳化
蘇打,梳打
梳髮髻,梳髻
棉襖,棉衲
棉大衣,棉褸
棍子,棍
手動檔,棍波
說相聲,棟篤笑
忌諱,棹忌
坐墊,椅墊
椰子塔,椰撻
卷心菜,椰菜
菜花兒,椰菜花
房價,樓價
樓房,樓宇
期房,樓花
出冷汗,標冷汗
綁票兒,標參
冒汗,標汗
出眾,標青
樹枝兒,樹枝
瓶子,樽
情節,橋段
橋墩,橋躉
橙子,橙
飛行員,機師
機電室,機房
橡皮筋,橡筋
盲腸,橫丫腸
橫豎要死的,橫又死掂又死
橫豎,橫掂
背街小巷,橫街窄巷
風雨橫掃,橫風橫雨
壁虎,檐蛇
攤子,檔口
桌子,檯
桌布,檯布
桌椅柀凳,檯檯凳凳
桌球,檯波
檸檬可樂,檸樂
檸檬茶,檸茶
抽屜,櫃桶
柿子揀軟的捏,欺善怕惡
歌曲,歌仔
享清福,歎世界
喜歡,歡喜
止損,止蝕
剛才,正話
首發,正選
好東西,正野
年齡不饒人,歲月不饒人
死鬼,死人頭
死鬼,死佬
死皮賴臉,死唔要面
省吃儉用,死慳死抵
嘴硬,死撐
半死,死死下
拋錨,死火
板板六十四,死牛一便頸
死定了,死硬
軟磨硬泡,死纏爛打
鴨子死了嘴還硬,死雞撐飯蓋
殘疾,殘障
比基尼,比堅尼
毛線,毛冷
起雞皮疙瘩,毛管戙
力氣,氣力
窩火,氣頂
水管兒,水喉
自來水,水喉水
水管,水喉通
鐵水管,水喉鐵
水庫,水塘
雨刷器,水撥
水瓶兒,水樽
水坑,水氹
跳進黃河也洗不清,水洗都唔清
水淹,水浸
迫在眉睫,水浸眼眉
合不來,水溝油
水壺,水煲
差勁,水皮
水垢,水積
錢不夠用,水緊
地線,水線
路費,水腳
嫩豆腐,水豆腐
雨靴,水靴
雨鞋,水鞋
甲魚,水魚
隨便,求其
骯髒,污糟
骯裡骯髒,污糟邋遢
洗澡,沖涼
浴室,沖涼房
泡茶,沖茶
啞,沙
愛出風頭,沙塵
警官,沙展
沙拉,沙律
沙坑,沙池
砂鍋,沙煲
柚子,沙田柚
沙丁魚,沙甸魚
沙蚤,沙虱
沙河粉,河粉
油炸食品,油器
牛油多士,油多
輕柴油,油渣
油條,油炸鬼
油汪汪的,油稔稔
停車,泊車
發酵粉,泡打粉
球,波
球場,波地
滾珠,波子
球衣,波恤
球拍子,波板
棒糖,波板糖
變速桿,波棍
變速箱,波箱
球衣,波衫
運動鞋,波鞋
泥水匠,泥水佬
泥潭,泥氹
土路,泥路
運泥車,泥頭車
游泳衣,泳衣
游泳褲,泳褲
保險桿,泵把
打氣,泵氣
洋房,洋樓
摘帽子,洗底
洗澡,洗白白
洗衣粉,洗粉
洗衣店,洗衣舖
洗衣服,洗衫
洗臉,洗面
洗髮水,洗頭水
分發,派
送信,派信
發紅包,派利是
分票,派飛
浪花兒,浪花
浴盆,浴缸
海產,海味
海洛因,海洛英
海濱,海皮
泡溫泉,浸溫泉
涼颼颼,涼浸浸
涼快,涼爽
苦瓜,涼瓜
清涼茶,涼茶
害怕,淆底
澆花,淋花
鎮定,淡定
燙,淥
燙熟,淥熟
光是,淨係
只有,淨得
素色,淨色
挑剔,淹尖
敗火,清熱氣
輸光,清袋
差勁,渣斗
港幣,港紙
暢銷,渴市
游泳,游水
帶孩子,湊仔
照料孩子,湊細路
湯圓,湯丸
醫藥費,湯藥費
半決賽,準決賽
溫習,溫書
化,溶
消防水龍,滅火喉
慢悠悠,滋油
光滑,滑溜
滯銷,滯市
打攪了,滾攪哂
開水,滾水
火燒火撩,滾水淥腳
潽了,滾瀉
和了滿貫,滿糊
油漆,漆油
漆包線,漆皮線
結結巴巴,漏口
結巴,漏口佬
連夜,漏夜
連環畫,漫畫書
氣炸了,激到爆
氣壞了,激死我
生氣,激氣
嗆著,濁親
零碎,濕星
小意思,濕濕碎
濕漉漉,濕立立
交流電,濕電
尿床,瀨尿
打火機,火機
煤油,火水
煤油爐,火水爐
憤怒,火滾
火災,火燭
消防車,火燭車
變壓器,火牛
酒精,火酒
保險絲,灰士
燜,炆
鬧翻鍋,炒大鑊
解僱,炒魷魚
降職,炖冬菇
引柴,炭精
鞭炮,炮仗
火性子,炮仗頸
爆竹,炮杖
為甚麼,為乜
饞嘴,為食
彎腰,烏低身
糊里糊塗,烏啄啄
一塌糊塗,烏喱單刀
蒼蠅,烏蠅
桑那浴,焗桑拿
悶熱,焗熱
烤爐,焗爐
不知所謂,無厘頭
沒心情,無心機
平白無故,無端白事
無緣無故,無端端
犯不上,無謂啦
煉乳,煉奶
烙餅,煎餅
香煙,煙仔
煙鬼,煙鏟
這樣看來,照咁睇
照理說,照計
照方抓藥,照辦煮碗
炒菜,煮菜
做飯,煮飯
下麵,煮麵
鍋,煲
砂鍋飯,煲仔飯
做無米炊,煲冇米粥
普通話,煲冬瓜
蝴蝶領結,煲呔
燒水,煲水
熬湯,煲湯
熬粥,煲粥
熬藥,煲藥
關燈,熄燈
面熟,熟口面
老主顧,熟客仔
內行,熟行
上火,熱氣
電熱爐,熱水爐
痱子,熱痱
太陽,熱頭
柿子椒,燈籠椒
電燈泡,燈膽
燒烤,燒0野食
放鞭炮,燒炮仗
烤肉,燒肉
烤鴨,燒鴨
烤鵝,燒鵝
熨衣服,燙衫
繃著臉,燶起塊面
燻肘子,燻蹄
出冷門,爆冷
車胎放炮,爆呔
兜底兒,爆大鑊
滿滿當當,爆棚
現編,爆肚
腦溢血,爆血管
爆玉米花,爆谷
癮頭大,爛癮
賭鬼,爛賭鬼
爽快,爽手
直爽,爽直
執照費,牌費
齒,牙
嘴巴厲害,牙尖嘴利
牙垢,牙屎
牙刷,牙擦
臭吹,牙擦擦
危險,牙煙
牙縫兒,牙罅
牙齦,牙肉
牙關,牙骹
牛蹄筋,牛孖筋
牛排,牛扒
黃油,牛油
野蠻,牛精
牛雜碎,牛雜
特別,特登
厲害,犀利
狗血噴頭,狗血淋頭
兇狠,狼胎
石頭剪刀布,猜呈尋
猜拳,猜枚
急,猴擒
獅子,獅
孤寡老人,獨居老人
玉鐲,玉鈪
單身漢,王老五
打撲克,玩啤牌
鬧新房,玩新人
玩沙子,玩泥沙
玩個夠,玩餐飽
變魔術,玩魔術
薄煎餅,班戟
課室,班房
搬救兵,班馬
球賽裁判員,球證
乾貝,瑤柱
瓜子兒,瓜子
砂鍋,瓦煲
大砂鍋,瓦罉
瓦楞紙,瓦通紙
甜食,甜品
甜膩膩,甜耶耶
扎啤,生啤
妄口巴舌,生安白造
爭氣,生性
淡醬油,生抽
活招牌,生招牌
水果,生果
水果攤兒,生果檔
活生生,生歐歐
生痱子,生熱痱
長口瘡,生飛滋
詼諧,生鬼
黑魚,生魚
爽約,甩底
吹了,甩拖
掉牙,甩牙
脫皮,甩皮
褪色,甩色
脫身,甩身
脫臼,甩較
隨便它,由得佢
蟑螂,甲由
爺們兒,男子漢
用心,畀心機
給錢,畀錢
賞臉,畀面
留下,留低
牲畜,畜牲
搖攤,番攤
肥皂,番梘
西紅柿,番茄
洋相,異相
值班,當值
當場,當堂
當警察,當差
值班,當更
遭殃,當災
顯眼,當眼
天之嬌子,當紅炸子雞
全神貫注,疊埋心水
有錢,疊水
舒暢,疏乎
愛鍚,疼愛
腮線炎,痄腮
老病號,病君
病秧子,病貓
癢,痕
痰盂,痰罐
發麻,痹
窘,瘀皮
瘋子,瘋佬
瘋子,癲佬
瘋女人,癲婆
相稱,登對
發獃,發吽哣
發牢騷,發嘮嘈
做夢,發夢
發騷,發姣
生氣,發嬲
泡沫塑料,發泡膠
狂熱者,發燒友
撒野,發爛渣
抓狂,發癲
作白日夢,發白日夢
發羊角風,發羊吊
說夢話,發開口夢
你瞎了,發雞盲
白忙活,白做
白手起家,白手興家
白切雞,白斬雞
白晰,白淨
小白菜,白菜仔
救護車,白車
白皚皚,白雪雪
文職人員,白領
勢利眼,白鴿眼
雪上加霜,百上加斤
淘氣,百厭
萬用,百搭
蜈蚣,百足
出租車,的士
迪斯科,的士高
鬢角,的水
小巧,的骰
皮箱,皮喼
毛皮大衣,皮草
松花蛋,皮蛋
皮大衣,皮褸
開銷,皮費
皺紋紙,皺紙
白搭,盞搞
班房,監倉
囚犯,監犯
囚犯,監躉
瞎子,盲公
筆直,直不甩
直溜溜的,直筆甩
直性子,直腸直肚
連衣裙,直身裙
根本,直頭
底片,相底
相親,相睇
眉毛,眉
大廈管理員,看更
眼睛,眼
心煩,眼冤
眼神兒,眼力
眼梢,眼尾
麥粒腫,眼挑針
眼淚汪汪的,眼濕濕
眼巴巴地,眼白白
眼皮兒,眼皮
眉毛,眼眉
眼饞,眼紅
發睏,眼訓
瞪眼珠子,眼超超
口大喉嚨小,眼闊肚窄
看,睇
看情況,睇下點
看透,睇化
走著瞧,睇吓點
看不懂,睇唔明
看不清楚,睇唔清楚
想不開,睇唔開
想不開,睇唔開
看報,睇報紙
看粵劇,睇大戲
把關,睇實
小看,睇小
恐怕,睇怕
看電影,睇戲
結賬,睇數
閱讀,睇書
觀風,睇水
看球賽,睇波
看淡,睇淡
算命,睇相
看門診,睇街症
門兒清,睇通睇透
看病,睇醫生
想開一點,睇開啲
看法,睇頭
看風水,睇風水
臥室,睡房
理,睬
打瞌睡,瞌眼訓
知道,知
機伶,知機
茄子,矮瓜
水泥,石屎
卵石,石春
台階,石級
鍋碗瓢盆兒,砂煲罌罉
拼圖,砌圖
扣帽子,砌生豬肉
搭積木,砌積木
案板,砧板
爛,破
硬朗,硬淨
堅強,硬頸
瞪著眼,碌大隻眼
雙層床,碌架床
柚子,碌柚
碎得很,碎濕濕
零票兒,碎紙
盤子,碟
份兒飯,碟頭飯
磁盤,磁碟
給錢,磅水
磚,磚頭
祖宗牌位,神主牌
香案,神枱
古里古怪,神神化化
票根兒,票尾
售票記錄,票房記錄
衣字旁,禮衣邊
私用車,私家車
私房錢,私己
隱私,私隱
領班,科文
給錢,科水
賺外快,秘撈
租房子,租樓
稻子,稻
航空信,空郵
虧空公款,穿櫃桶
露餡兒,穿煲
噎人家,窒人
處處針對,窒頭窒勢
窗戶,窗
窗戶,窗口
窗戶,窗門
窮光蛋,窮鬼
窟窿,窿
旮旮旯旯,窿窿罅罅
門路,窿路
雜亂,立立亂
筍雞,童子雞
竹子,竹
竹字頭,竹花頭
笑得打跌,笑到轆地
咧著嘴笑,笑口噬噬
開口笑,笑口棗
笑掉大牙,笑甩棚牙
笛子,笛
蒙混過關,符碌
蹦極,笨豬跳
別的,第二樣
最後,第尾
改天,第日
以後,第時
下次,第次
筆尖兒,筆嘴
等位子,等位
等到脖子都酸,等到頸都長
等不及,等唔切
竹筍,筍
沙發墊,箍臣
拉倒,算數
鐵公雞,算死草
箭頭兒,箭嘴
毛瓜,節瓜
打桌球,篤波
戳穿,篤爆
打小報告,篤背脊
篩子,篩
本子,簿
次貨,籮底橙
米花糖,米通
粉筆刷,粉刷
小疙瘩,粉刺
板擦,粉擦
一聲不吭,粒聲唔出
笨活兒,粗重工夫
玉米,粟米
稀飯,粥
精神抖擻,精神爽利
甜疙瘩,糖不甩
甜食店,糖水舖
工資單,糧單
湊一塊兒,約埋一齊
大約,約莫
英泥,紅毛泥
紅彤彤,紅當當
胡蘿蔔,紅蘿蔔
扣眼兒,紐門
匯率,紙水
馬賽克,紙皮石
風箏,紙鷂
檔次,級數
吃力,索氣
壞事兒,累事
小,細
最小的兒子,細仔
弟弟,細佬
最小的女兒,細女
妹妹,細妹
小號,細碼
膽小,細膽
小碗餛飩麵,細蓉
小孩兒,細蚊仔
小孩,細路
小男孩,細路仔
小女孩,細路女
吉他,結他
絕活兒,絕技
絕活兒,絕招
呢大衣,絨褸
螺絲帽,絲帽
已經,經已
經紀人,經紀
綠豆粥,綠豆沙
維生素,維他命
要緊,緊要
節骨眼兒,緊要關頭
桃色新聞,緋聞
眼線,線眼
繫鞋帶,縛鞋帶
抽水,縮水
當逃兵,縮沙
自私,縮骨
摺疊傘,縮骨遮
大閘,總掣
絞絲旁,繑絲邊
編毛衣,織冷衫
繩子,繩
小缽糕,缽仔糕
缽兒,缽頭
縫兒,罅
罰款,罰錢
算了,罷就
山羊鬍子,羊咩鬚
丟人現眼,羞家
社會志願服務者,義工
羽絨外衣,羽絨褸
悶熱,翳熱
復活,翻生
颳風,翻風
邊鋒,翼鋒
安老院,老人院
丈夫,老公
騙子,老千
老朋友,老友
土氣,老土
老頭子,老坑
老處女,老姑婆
妻子,老婆
鎮定,老定
老糊塗,老懵董
濃醬油,老抽
老闆,老板
老油子,老油條
汗垢,老泥
公公,老爺
老成,老積
老闆,老細
表親,老表
冤大頭,老襯
父親,老豆
老馬失蹄,老貓燒鬚
考駕照,考牌
問住了,考起
考駕照,考車牌
現在,而家
打太極,耍太極
久不久,耐唔耐
耳朵,耳仔
耳根子軟,耳仔軟
耳垢,耳屎
耳挖子,耳挖
耳垂,耳珠
耳孔,耳窿
耳機,耳筒
垂下頭,耷低頭
垂頭喪氣,耷頭耷腦
惡聲惡氣,聲大夾惡
錄音帶,聲帶
消息,聲氣
音色,聲線
聽音樂,聽歌
話筒,聽筒
肉丸子,肉丸
肉票兒,肉參
肉攤兒,肉檔
肉丁,肉粒
緊張,肉緊
心疼,肉赤
難看,肉酸
肉餅子,肉餅
肚子疼,肚痛
拉肚子,肚痾
小肚子,肚腩
餓,肚餓
胖,肥
胖子,肥仔
胖子,肥佬
胖女人,肥婆
肥頭大耳,肥屍大隻
胖胖的,肥肥地
又白又胖,肥肥白白
油膩,肥膩
肺結核,肺癆
胃疼,胃痛
背包,背囊
仰泳,背泳
默寫,背默
胳肢窩,胳肋底
胸罩,胸圍
脫銷,脫市
和善,腍善
油皮,腐皮
腳剎車,腳掣
腳掌,腳板
腳掌,腳板底
腿肚子,腳瓜
腿肚子,腳瓜瓤
腳趾甲,腳甲
腳發麻,腳痹
腿麻,腳痺
腳脖子,腳眼
腳拇趾,腳趾公
腳小趾,腳趾尾
腳蹬,腳踏
腳跟,腳踭
腳背,腳面
腿力,腳骨力
肩膀,膊頭
膝蓋,膝頭
塑膠刀,膠刀
塑膠叉,膠叉
膠管子,膠喉
塑料拖鞋,膠拖
塑料杯,膠杯
膠紙,膠紙
塑膠袋,膠袋
膽大包天,膽生毛
香腸,臘腸
臨時演員,臨記
自然,自不然
自動檔,自動波
自己人,自己友
自慰,自瀆
任意球,自由球
從小,自細
自然而然,自自然然
樟腦丸,臭丸
臭哄哄的,臭崩崩
狐臭,臭狐
舅舅,舅父
舊同志,舊人
去年,舊年
以前,舊底
以前,舊陣時
商店,舖頭
小船,艇仔
顏色,色
顏色,色水
奶酪,芝士
芥蘭菜,芥蘭
芥末,芥辣
香菜,芫荽
花兒,花
小花童,花仔
小花童,花仔花女
虛假,花假
花骨朵,花冧
外號,花名
花哩胡哨,花哩碌
花市,花墟
凡士林,花士令
小花童,花女
洋參,花旗參
花瓶,花樽
花色,花款
蓮蓬頭,花灑
園丁,花王
花盆兒,花盆
花籃兒,花籃
獎金,花紅
禮品紙,花紙
花樣,花臣
花裙兒,花裙
奶油小生,花靚仔
如果,若果
繃著臉,苦瓜乾
開司米,茄士咩
西紅柿汁,茄汁
茅坑,茅廁
袋泡茶,茶包
醬瓜,茶瓜
酒飯錢,茶錢
破爛不堪,茸茸爛爛
草坪,草披
平民階層,草根階層
草頭兒,草花頭
蚱蜢,草蜢
錢包,荷包
豌豆,荷蘭豆
好萊塢,荷里活
乾菜,菜乾
蔬菜行,菜欄
蘿蔔乾兒,菜甫
膝蓋骨,菠蘿蓋
膠卷兒,菲林
曲別針,萬字夾
墮胎,落仔
賣力,落力
下去,落去
點菜,落單
下課,落堂
親力親為,落手落腳
憔悴,落晒形
下訂單,落柯打
下樓,落樓
下注,落注
停映,落畫
放糖,落糖
下船,落船
安葬,落葬
上街,落街
下車,落車
下雨,落雨
下雪,落雪
下冰雹,落雹
葉子,葉
好處,著數
穿鞋,著鞋
蒜泥,蒜蓉
泡吧,蒲吧
露臉了,蒲頭
破爛不堪,蓉蓉爛爛
藕,蓮藕
甘蔗,蔗
甘蔗汁,蔗汁
西紅柿,蕃茄
香蕉,蕉
迷路,蕩失路
薑泥,薑蓉
工資,薪水
土豆,薯仔
土豆兒燒雞,薯仔炆雞
演員,藝人
藥片,藥丸
中藥店,藥材舖
藥瓶,藥樽
過了這個村就沒這個店,蘇州過後冇艇搭
嬰兒,蘇蝦
嬰兒,蘇蝦仔
老虎,虎
蚊子,蚊
紗窗,蚊網
蟲牙,蛀牙
偷懶,蛇王
獐頭鼠目,蛇頭鼠眼
排叉兒,蛋散
蛋黃兒,蛋黃
月牙兒,蛾眉月
蛤蜊,蜆
蜂蜜,蜜糖
蜜蜂兒,蜜蜂
吃虧,蝕底
蝦塊,蝦碌
橫行霸道,蝦蝦霸霸
螢火蟲兒,螢火蟲
螃蟹,蟹
蟹黃,蟹膏
螃蟹殼,蟹蓋
螞蟻,蟻
蠔乾兒,蠔豉
笨,蠢
滑頭,蠱惑
走,行
走一趟,行一轉
過街天橋,行人天橋
人行道,行人路
先走,行先
不好使,行唔通
走好運,行好運
同行,行家
遠足,行山
徒步旅行者,行山友
人行山路,行山徑
走歪路,行差踏錯
逛花市,行花市
無所事事,行行企企
逛街,行街
走壞運,行衰運
走路,行路
走運,行運
打雷,行雷
打雷打閃,行雷閃電
街道,街
路口,街口
菜市場,街市
招貼,街招
外賬,街數
路燈,街燈
門診,街症
外線,街線
幹勁兒,衝勁
縫紉機,衣車
小上衣,衫仔
衣服縫邊,衫腳
袖子,衫袖
鈕扣,衫鈕
領子,衫領
霉到極,衰到貼地
壞蛋,衰神
壞事,衰野
壞傢伙,衰鬼
口袋,袋
袖子,袖
當冤大頭,被人搵老襯
被窩兒,被竇
被子套,被袋
鋪蓋,被鋪
裙子,裙
補償,補數
加班費,補水
補衣服,補衫
補救,補鑊
鞋匠,補鞋佬
使圈套,裝彈弓
盛湯,裝湯
裝糊塗,裝聾扮啞
盛飯,裝飯
克隆羊,複製羊
褥子,褥
倒車,褪車
褲子,褲
褲襠,褲浪
褲衩,褲頭
褲帶,褲頭帶
耐用,襟用
胸章,襟章
胸花兒,襟花
襪子,襪
襪口,襪頭
極匹配,襯到絕
外國人,西人
西曬,西斜
外國片兒,西片
西服,西裝
西裝畢挺,西裝骨骨
西點,西餅
應聘,見工
走著瞧,見步行步
見錢眼開,見錢開眼
出飯,見飯
睡覺覺,覺覺豬
犄角,角落頭
旁白,解畫
訂座,訂位
訂票,訂飛
算,計
點子,計仔
依我說,計我話
計算機,計數機
睡不著,訓唔著
落枕,訓戾頸
內存,記憶體
裝蒜,詐傻
撒嬌,詐嬌
裝病,詐病
裝模作樣,詐諦
嚐味兒,試味
試穿,試身
試衣室,試身室
說,話
不管你,話之你
吩咐,話低
很容易,話咁易
說不定,話唔定
話說回來,話時話
一點就通,話頭醒尾
糟糕,該煨
服輸,認低威
教室,課室
請客,請飲
笨手笨腳的,論盡
想,諗
想清楚,諗真
打小算盤,諗縮數
想法,諗頭
謙虛,謙
侃價,講價
講信用,講口齒
講故事,講古仔
說好了,講好左
說書人,講故佬
講課,講書
說走嘴,講漏嘴
開玩笑,講笑
絮絮叨叨,講耶穌
認識,識
識相,識做
會混,識撈
識破,識穿
會吃會喝,識飲識食
窩火兒,谷氣
豆子,豆
沙嗓子,豆沙喉
麻子,豆皮
砂鍋豆腐,豆腐煲
豆腐腦兒,豆腐膶
豆腐腦,豆腐花
豆芽兒,豆芽
豇豆,豆角
醬油,豉油
暴雨,豪雨
公豬,豬公
蠢豬,豬嘜
豬蹄兒,豬手
豬排,豬扒
狐朋狗黨,豬朋狗友
豬肝,豬潤
財源滾滾,豬籠入水
豬血,豬紅
豬蹄,豬腳
母豬,豬
豹子,豹
倉庫,貨倉
剩貨,貨尾
集裝箱,貨櫃
卡車,貨車
樣品,貨辦
圖方便,貪方便
愛美,貪靚
買房子,買屋
買房子,買樓
買東西,買野
懶得,費事
小費,貼士
賀年片,賀年咭
小偷,賊仔
賒賬,賒數
賣嘴,賣口乖
賣廣告,賣告白
賣房子,賣屋
賣房子,賣樓
下流,賤格
素質,質素
賭徒,賭仔
賭攤兒,賭檔
賭球,賭波
賴皮,賴貓
贖票兒,贖參
跑,走
捲逃,走佬
夾尾巴逃,走夾唔抖
錯失機會,走寶
賴帳,走數
鑽法律的空子,走法律罅
走來走去,走走笛笛
滾開,走開
錯過機會,走雞
逃難,走難
跑調,走音
漲價,起價
一個勁兒地跑,起勢咁走
蓋房子,起屋
揭老底,起底
蓋樓,起樓
發令槍,起步槍
起壞心,起痰
動筷子,起筷
上菜,起菜
交貨,起貨
起床,起身
熗鍋,起鑊
起雞皮疙瘩,起雞皮
剔骨頭,起骨
湊熱鬧,趁熱鬧
來不及,趕唔切
催命似的,趕頭趕命
一拐一拐,趷下趷下
看走眼,跌眼鏡
摔傷,跌親
瘸,跛
瘸腿,跛腳
瘸子,跛腳佬
接著,跟住
隨手,跟手
收拾爛攤子,跟手尾
勢利眼,跟紅頂白
看風頭,跟風
滑倒,跣低
門路,路數
路考,路試
換工作,跳槽
鬧情緒,跳草裙舞
跳健美操,跳韻律操
無尾夜禮服,踢死兔
踢足球,踢波
揭短兒,踢爆
溜冰,踩冰
騎自行車,踩單車
踏水,踩水
走鋼絲,踩鋼線
蹄子,蹄
家當,身家
汗流浹背,身水身汗
避,躲
車廂,車卡
櫻桃,車厘子
車胎,車呔
吹牛,車大炮
尾燈,車尾燈
駕駛執照,車牌
螺旋槳,車葉
縫衣服,車衫
車輪,車轆
車票,車飛
柔軟,軟熟
癩皮狗,軟皮蛇
剪刀,較剪
溜走,較腳
輪班,輪更
拿號兒,輪籌
輸個精光,輸清光
打賭,輸賭
滾,轆
刷卡,轆卡
改行,轉行
拐角兒,轉角位
倒車,轉車
回頭,轉頭
去腥,辟腥
春節,農曆新年
接近,近傍
上學,返學
學生鞋,返學鞋
回家,返屋企
上班,返工
回老家,返鄉下
逼,迫
摁扣兒,迫鈕
瘟瘟沌沌,迷迷糊糊
深呼吸,透大氣
升爐子,透爐
討紅包,逗利是
通書,通勝
傳小抄,通水
到處,通處
熬夜,通頂
剎車,逼力
擠車,逼車
遊歷,遊埠
遊船,遊艇
乘車兜風,遊車河
倒霉,運滯
繞道兒走,運路行
複寫紙,過底紙
較量,過招
轉賬,過數
過河拆橋,過橋抽板
過時,過氣
經手三分肥,過水濕腳
陣雨,過雲雨
過關,過骨
過頭,過龍
雨傘,遮
早晚,遲早
避諱,避忌
避風港,避風塘
還願,還神
誰,邊個
哪裏,邊度
哪種,邊樣
哪次,邊次
骯髒,邋遢
動手,郁手
郵遞員,郵差
倒挺好,都幾好
老家,鄉下
土包子,鄉下仔
酒窩,酒凹
酒罎子,酒埕
飯店,酒店
飯店,酒樓
酒糟鼻,酒渣鼻
樣品酒,酒辦
紅木,酸枝
醉漢,醉酒佬
醋罎子,醋埕
機靈,醒目
開胃口,醒胃
羞死人,醜死鬼
醫生證明,醫生紙
治病,醫病
還是,重係
還想,重想
還想怎樣,重想點
還有,重有
私生子,野仔
金子,金
告密者,金手指
黃花菜,金針菜
金魚兒,金魚
釘子,釘
甘蔗沒有兩頭甜,針無兩頭利
針線活兒,針黹
鉗子,鉗
自動鉛筆,鉛芯筆
剪刀,鉸剪
銀子,銀
硬幣,銀仔
錢包,銀包
鈔票,銀紙
警笛,銀雞
頭銜,銜頭
錄像,錄影
錄像機,錄影機
歪打正著,錯有錯著
親吻,鍚
喜歡,鍾意
鑰匙,鎖匙
鑰匙孔,鎖匙窿
鏡子,鏡
鏡框兒,鏡架
激光視盤,鐳射影碟
撬杠,鐵筆
鐵欄柵,鐵閘
鐵欄杆兒,鐵馬
鍋,鑊
鍋剷,鑊剷
火候,鑊氣
退休金,長俸
絮叨,長氣
門兒,門
門閂,門戌
門逢兒,門罅
門鈴,門鐘
關窗戶,閂窗
關門,閂門
躲躲閃閃,閃閃縮縮
發愁,閉翳
揭曉,開估
揭曉,開古
開發票,開單
開夜車,開夜
高興,開心
開業,開檔
發球,開波
敞篷車,開篷車
打傘,開遮
開拍,開鏡
輕易地,閑閑地
偶爾,間中
有時候,間唔中
尺子,間尺
房子,間屋
條紋,間條
間架,間隔
閣樓,閣仔
闊氣,闊佬
愛搭不理,闊佬懶理
寬銀幕,闊幕
寬敞,闊落
長柄大刀,關刀
礙手礙腳,阻手阻腳
佔地方,阻碇
外公,阿公
叔父,阿叔
哥哥,阿哥
妹妹,阿妹
外婆,阿婆
媽媽,阿媽
嫂嫂,阿嫂
嬸嬸,阿嬸
咕咕噥噥,阿支阿左
爸爸,阿爸
爺爺,阿爺
張三李四,阿豬阿狗
頭頭兒,阿頭
脫,除
摘眼鏡,除眼鏡
吃小虧佔大便宜,除笨有精
脫衣服,除衫
脫褲子,除褲
脫襪子,除襪
脫鞋,除鞋
暗害人,陰人
柔勁,陰力
可憐,陰功
陰險,陰濕
小聲小氣,陰聲細氣
偷笑,陰陰笑
地板磚,階磚
隔壁,隔籬
左右四鄰,隔籬鄰舍
隔壁,隔離
一手遮天,隻手遮天
單打獨鬥,隻揪
睜一隻眼閉一隻眼,隻眼開隻眼閉
大雁,雁
二鍋頭,雙蒸酒
兩面派,雙面人
雜貨店,雜貨舖
母雞,雞
公雞,雞公
穿兔子鞋似的,雞咁腳
毛手毛腳,雞手鴨腳
雞毛撣子,雞毛掃
河豚,雞泡魚
牛皮紙,雞皮紙
這麼一點兒,雞碎咁多
雞血,雞紅
雞翅膀,雞翼
雞腿,雞脾
雞肫,雞腎
毛毛雨,雨粉
雨衣,雨褸
冰,雪
嗖的一聲,雪一聲
四輪冰鞋,雪屐
冰棍兒,雪條
梨子,雪梨
電冰箱,雪櫃
冰水,雪水
製冷劑,雪種
冰淇淋,雪糕
餛飩,雲吞
大理石,雲石
木耳,雲耳
零售,零沽
零花錢,零用錢
特別,零舍
摩托車,電單車
電門,電掣
電熱毯,電氈
手電筒,電筒
顯示器,電腦芒
汽艇,電船
電池,電芯
電鈴兒,電鈴
燙頭,電頭髮
電扇,電風扇
電鍋,電飯煲
燙髮,電髮
佔,霸
佔位子,霸位
靈機一動,靈機一觸
貽貝,青口
黃瓜,青瓜
漂亮,靚
帥哥,靚仔
漂亮女孩,靚女
不靠譜兒,靠唔住
臉,面
面不改色,面不改容
臉型,面型
洗臉巾,面巾
揣著明白裝糊塗,面懵心精
臉蛋,面珠墩
面軟,面皮薄
臉盆,面盆
臉色,面色
臉色青白,面青青
靴子,靴
鞋子,鞋
鞋拔子,鞋抽
鞋刷子,鞋擦
鞋釘,鞋碼
鞋尖,鞋頭
鞦韆,韆鞦
在,響度
調包,頂包
受不了,頂唔順
窩心,頂心頂肺
轉讓費,頂手費
頂替,頂檔
硬著頭皮上,頂硬上
到頂,頂籠
指證,頂證
拌嘴,頂頸
順道,順手
順當,順攤
領子,領
領帶,領呔
剛剛,頭先
焦頭爛額,頭崩額裂
頭球,頭槌
腦袋,頭殼
頭頂,頭殼頂
頭屑,頭皮
耷拉著腦袋,頭耷耷
頭痛,頭赤
頭球,頭錘
脖子,頸
喉嚨,頸喉
圍巾,頸巾
口渴,頸渴
項鍊,頸鍊
跑跑顛顛,頻頻撲撲
額,額頭
堪輿家,風水佬
颱風訊號,風球
吹風機,風筒
風衣,風褸
小流氓,飛仔
飛行員,飛機師
夾克衫,飛機恤
汆,飛水
